s_Sample,External ID,Date of Collection,Location,Country,Latitude,Longitude,Collection Context,Collection Method,Collection Time,Specimen Sex,Specimen Type,Extraction Method,Sample Type,Species
VBS00036,1175-S01-0036,2014-12-08,Sayas,Cambodia,13.5476389,107.024555,outdoor,cow-baited tent,21,Female,Wild caught adult,,Genomic DNA,Anopheles_dissidens
VBS00037,1175-S01-0037,2014-12-07,Sayas,Cambodia,13.5476389,107.024555,outdoor,cow-baited tent,2,Female,Wild caught adult,,Genomic DNA,Anopheles_dissidens
VBS00038,1175-S01-0038,2013-08-16,Angkrong,Cambodia,12.3129167,103.570388,outdoor,cow-baited tent,20,Female,Wild caught adult,,Genomic DNA,Anopheles_saeungae
VBS00039,1175-S01-0039,2013-08-13,Angkrong,Cambodia,12.3129167,103.570388,outdoor,human landing catch,20,Female,Wild caught adult,,WGA,Anopheles_saeungae
VBS00040,1175-S01-0040,2013-08-16,Angkrong,Cambodia,12.3129167,103.570388,outdoor,cow-baited tent,19,Female,Wild caught adult,,Genomic DNA,Anopheles_saeungae
VBS00041,1175-S01-0041,2013-08-16,Angkrong,Cambodia,12.3129167,103.570388,outdoor,barrier fence,20,Female,Wild caught adult,,Genomic DNA,Anopheles_saeungae
VBS00042,1175-S01-0042,2013-08-14,Angkrong,Cambodia,12.3129167,103.570388,outdoor,CDC-light trap,,Female,Wild caught adult,,WGA,Anopheles_saeungae
VBS00043,1175-S01-0043,2013-08-07,Chean Mok,Cambodia,13.7698056,104.920388,outdoor,cow-baited tent,20,Female,Wild caught adult,,Genomic DNA,Anopheles_wejchoochotei
VBS00044,1175-S01-0044,2013-08-06,Chean Mok,Cambodia,13.7698056,104.920388,outdoor,cow-baited tent,21,Female,Wild caught adult,,Genomic DNA,Anopheles_wejchoochotei
VBS00045,1175-S01-0045,2013-08-07,Chean Mok,Cambodia,13.7698056,104.920388,outdoor,human landing catch,19,Female,Wild caught adult,,Genomic DNA,Anopheles_wejchoochotei
VBS00046,1175-S01-0046,2013-08-01,Chean Mok,Cambodia,13.7698056,104.920388,outdoor,human landing catch,22,Female,Wild caught adult,,Genomic DNA,Anopheles_wejchoochotei
VBS00047,1175-S01-0047,2013-08-05,Chean Mok,Cambodia,13.7698056,104.920388,outdoor,cow-baited tent,3,Female,Wild caught adult,,Genomic DNA,Anopheles_wejchoochotei
VBS00048,1175-S01-0048,2009-11-20,Thmar Da,Cambodia,12.155,102.735,outdoor,human landing catch,,Female,Wild caught adult,,Genomic DNA,Anopheles_dirus_A
VBS00049,1175-S01-0049,2010-04-05,Thmar Da,Cambodia,12.155,102.735,indoor,CDC-light trap,,Female,Wild caught adult,,Genomic DNA,Anopheles_dirus_A
VBS00050,1175-S01-0050,2010-05-05,Thmar Da,Cambodia,12.155,102.735,outdoor,human landing catch,,Female,Wild caught adult,,Genomic DNA,Anopheles_dirus_A
VBS00051,1175-S01-0051,2009-12-07,Thmar Da,Cambodia,12.155,102.735,outdoor,human landing catch,,Female,Wild caught adult,,WGA,Anopheles_dirus_A
VBS00052,1175-S01-0052,2010-02-24,Thmar Da,Cambodia,12.155,102.735,outdoor,human landing catch,,Female,Wild caught adult,,Genomic DNA,Anopheles_dirus_A
VBS00053,1175-S01-0053,2013-08-07,Chean Mok,Cambodia,13.7698056,104.920388,outdoor,cow-baited tent,4,Female,Wild caught adult,,WGA,Anopheles_aconitus
VBS00054,1175-S01-0054,2013-08-07,Chean Mok,Cambodia,13.7698056,104.920388,outdoor,cow-baited tent,1,Female,Wild caught adult,,WGA,Anopheles_aconitus
VBS00055,1175-S01-0055,2013-08-06,Chean Mok,Cambodia,13.7698056,104.920388,outdoor,cow-baited tent,2,Female,Wild caught adult,,WGA,Anopheles_aconitus
VBS00056,1175-S01-0056,2013-08-06,Chean Mok,Cambodia,13.7698056,104.920388,outdoor,cow-baited tent,2,Female,Wild caught adult,,WGA,Anopheles_aconitus
VBS00057,1175-S01-0057,2013-08-03,Chean Mok,Cambodia,13.7698056,104.920388,outdoor,cow-baited tent,21,Female,Wild caught adult,,WGA,Anopheles_aconitus
VBS00058,1175-S01-0058,2009-12-06,Thmar Da,Cambodia,12.155,102.735,outdoor,human landing catch,,Female,Wild caught adult,,WGA,Anopheles_minimus_A
